Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Frankston Regional Recycling and Recovery Centre,Frankston City Council,Resource Recovery Centre,Transfer station,20 Harold Road,Skye,Frankston,-38.124124,145.218326
Future Recycling Transfer Station,Future Recycling,Resource Recovery Centre,Transfer station,30-32 Exchange drive,Pakenham,Cardinia,-38.096939,145.493219
Glenthompson Resource Recovery Centre,Southern Grampians Shire Council,Resource Recovery Centre,Transfer station,Corner of Glenthompson Stock Route and Boundary Road,Glenthompson,Southern Grampians,-37.62327571,142.5520377
Goornong Transfer Station,Greater Bendigo City Council,Resource Recovery Centre,Transfer station,55-59 Englishs Rd,Goornong,Greater Bendigo,-36.616425,144.518528
Goroke Transfer Station,West Wimmera Shire Council,Resource Recovery Centre,Transfer station,Kiely Street,Goroke,West Wimmera,-36.69783556,141.4781183
Graytown Resource Recovery Centre,Strathbogie Shire Council,Resource Recovery Centre,Transfer station,1487 South Costerfield - Graytown Road,Graytown,Strathbogie,-36.83677635,144.9313752
Gunbower Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,4134 Murray Valley Highway,Gunbower,Campaspe,-35.96260982,144.376861
Halls Gap Transfer Station,Northern Grampians Shire Council,Resource Recovery Centre,Transfer station,4300 Ararat-Halls Gap Road,Halls Gap,Northern Grampians,-37.11163056,142.5824194
Hampton Park Resource Recovery Park - Outlook Environmental Public Drop-off Transfer Station,Veolia Environmental Services Pty Ltd,Resource Recovery Centre,Transfer station,274 Hallam Road,Hampton Park,Casey,-38.05338,145.267151
Harrow Transfer Station,West Wimmera Shire Council,Resource Recovery Centre,Transfer station,Off Nhill-Harrow Road,Harrow,West Wimmera,-37.13546784,141.5942841
Hawkesdale Waste Facility,Moyne Shire Council,Resource Recovery Centre,Transfer station,116 Baird Street,Hawkesdale,Moyne,-38.102108,142.328169
Heathcote Transfer Station,Greater Bendigo City Council,Resource Recovery Centre,Transfer station,61 Golden Gully Road,Heathcote,Greater Bendigo,-36.935361,144.696822
Heyfield Transfer Station,Wellington Shire Council,Resource Recovery Centre,Transfer station,Rifle Range Road,Heyfield,Wellington,-37.974343,146.763321
Heywood Transfer Station,Glenelg Shire Council,Resource Recovery Centre,Transfer station,400-376 Catons Flat Road,Heywood,Glenelg,-38.13803611,141.5970611
Hopetoun Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,8 Tip Road,Hopetoun,Yarriambiack,-35.736704,142.346648
Horsham Transfer Station & Resource Recovery Centre,Horsham Rural City Council,Resource Recovery Centre,Transfer station,93 Kenny Road,Haven,Horsham,-36.741672,142.185811
Inglewood Transfer Station,Loddon Shire Council,Resource Recovery Centre,Transfer station,Inglewood-Salisbury Road,Inglewood,Loddon,-36.564603,143.879189
