Facility Name,Facility Owner,Facility Type,Infrastructure Type,Address,Suburb,LGA,Latitude,Longitude
Traralgon Transfer Station,Latrobe City Council,Resource Recovery Centre,Transfer station,1 Liddiard Road,Traralgon,Latrobe,-38.21376,146.55033
Trentham Transfer Station,Hepburn Shire Council,Resource Recovery Centre,Transfer station,Cosmo Road (145 Blackwood Road),Trentham,Hepburn,-37.414729,143.886057
Tyabb Resource Recovery Centre,Mornington Peninsula Shire Council,Resource Recovery Centre,Transfer station,21 Mckirdys Road,Tyabb,Mornington Peninsula,-38.25993265,145.2196584
Ultima Transfer Station (Transfer Station) ,Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,4330 Sea Lake Road,Ultima,Swan Hill,-35.454618,143.280649
Underbool Transfer Station,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Cemetery Road,Underbool,Mildura,-35.178426,141.807047
Venus Bay Transfer Station,South Gippsland Shire Council,Resource Recovery Centre,Transfer station,Corner Canterbury Road and No 3 Beach Road,Venus Bay,South Gippsland,-38.6963,145.8099722
Violet Town Resource Recovery Centre,Strathbogie Shire Council,Resource Recovery Centre,Transfer station,190 McDiarmids Road,Violet Town,Strathbogie,-36.6483265,145.7005204
Wairewa Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,Carl Smith Road,Wairewa,East Gippsland,-37.6904,148.1904
Walkerville Transfer Station,South Gippsland Shire Council,Resource Recovery Centre,Transfer station,Fish Creek Road,Walkerville,South Gippsland,-38.826722,145.997576
Wallan Resource Recovery Centre,Mitchell Shire Council,Resource Recovery Centre,Transfer station,4-5 Freeway Drive,Wallan,Mitchell,-37.4170752,145.0011295
Walpeup Transfer Station,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Murphy Road,Walpeup,Mildura,-35.142302,142.028651
Wangaratta Transfer Station,Wangaratta Rural City Council,Resource Recovery Centre,Transfer station,45-65 Sandford Road,Wangaratta,Wangaratta,-36.369497,146.289708
Warracknabeal Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,108 Tip Road,Warracknabeal ,Yarriambiack,-36.226349,142.407726
Wastebusters Recycling,Wastebusters,Resource Recovery Centre,Transfer station,44 Golf Course Road,Horsham,Horsham,-36.735571,142.200273
Watchem Transfer Station,Buloke Shire Council,Resource Recovery Centre,Transfer station,40 Morton Street,Watchem,Buloke,-36.155521,142.866426
Wedderburn Transfer Station,Loddon Shire Council,Resource Recovery Centre,Transfer station,Godfrey Street,Wedderburn,Loddon,-36.422706,143.603717
Werrimull Transfer Station,Mildura Rural City Council,Resource Recovery Centre,Transfer station,King Street,Werrimull,Mildura,-34.38907,141.59263
Wesburn Recycling and Waste Transfer Centre,Yarra Ranges Recycling Services,Resource Recovery Centre,Transfer station,689 Old Warburton Road,Wesburn,Yarra Ranges,-37.774807,145.649131
Western Waste Management,Western Waste Management,Resource Recovery Centre,Transfer station,11-27 Marriner Street,Colac East,Colac Otway,-38.329549,143.612899
Westvic Waste & Recycling,Westvic Waste,Resource Recovery Centre,Transfer station,3 Hammond Place,Warrnambool,Warrnambool,-38.36617,142.45578
Whitehorse Recycling & Waste Centre,Whitehorse City Council,Resource Recovery Centre,Transfer station,Corner Burwood Highway & Morack Road,Vermont South,Whitehorse,-37.861882,145.19567
Willaura Resource Recovery Centre,Ararat Rural City Council,Resource Recovery Centre,Transfer station,460 Wickcliffe - Willaura Road,Willaura,Ararat,-37.577953,142.733021
Winchelsea Resource Recovery Centre,Surf Coast Shire,Resource Recovery Centre,Transfer station,55 Cressy Road,Winchelsea,Surf Coast,-38.23927954,143.9745201
Wodonga Waste Transfer Station,Wodonga City Council,Resource Recovery Centre,Transfer station,29 Kane Road,Wodonga,Wodonga,-36.117,146.9044
Wollert Landfill (Transfer Station) ,Heidelberg Materials Australia Resource Recovery Pty Ltd,Resource Recovery Centre,Transfer station,55 Bridge Inn Road,Wollert,Whittlesea,-37.586671,145.046205
Wonthaggi Transfer Station,Bass Coast Shire Council,Resource Recovery Centre,Transfer station,180 Cameron Street,Wonthaggi,Bass Coast,-38.622315,145.579956
Woodend Transfer Station,Macedon Ranges Shire Council,Resource Recovery Centre,Transfer station,149 Quarry Road,Woodend,Macedon Ranges,-37.368303,144.541153
Woolsthorpe Transfer Station & Resource Recovery,Moyne Shire Council,Resource Recovery Centre,Transfer station,Mt Taurus Road,Woolsthorpe,Moyne,-38.211851,142.419335
Woomelang Transfer Station,Yarriambiack Shire Council,Resource Recovery Centre,Transfer station,121 Church Street ,Woomelang,Yarriambiack,-35.696939,142.67586
Woorndoo Waste Facility,Moyne Shire Council,Resource Recovery Centre,Transfer station,Cameron Street,Woorndoo,Moyne,-38.22443,142.42437
Wycheproof Transfer Station,Buloke Shire Council,Resource Recovery Centre,Transfer station,281 Mackies Road Wycheproof,Wycheproof,Buloke,-36.062456,143.25821
Wyndham Refuse Disposal Facility,Wyndham City Council,Resource Recovery Centre,Transfer station,470 Wests Road,Werribee,Wyndham,-37.939053,144.59441
Yabba Transfer Station,Moira Shire Council,Resource Recovery Centre,Transfer station,1350 Yabba South Road,Yabba,Moira,-36.240343,145.649974
Yarra Recycling Centre,Yarra City Council,Resource Recovery Centre,Transfer station,168 Roseneath Street,Clifton Hill,Yarra,-37.793908,145.000839
Yarram Transfer Station,Wellington Shire Council,Resource Recovery Centre,Transfer station,Hyland Way,Yarram,Wellington,-38.54132,146.702445
Yarrawonga Resource Recovery Centre,Moira Shire Council,Resource Recovery Centre,Transfer station,81 Channel Road,Yarrawonga,Moira,-36.022002,146.000864
Yea Resource Recovery Centre,Murrindindi Shire Council,Resource Recovery Centre,Transfer station,617 Ghin Ghin Road,Yea,Murrindindi,-37.15781695,145.3764348
Yinnar Transfer Station,Latrobe City Council,Resource Recovery Centre,Transfer station,260 Whitelaws Track,Yinnar South,Latrobe,-38.349158,146.324886
Calder Permaculture,Calder Permaculture,Reprocessor,Organics recycling,131 Kinghorn Lane,Nyah West,Swan Hill,-35.1736432,143.3584421
Ecodynamics Mulch,Ecodynamics Group,Reprocessor,Organics recycling,480 Cooper Street,Epping,Whittlesea,-37.6454105,144.9780494
Geocycle (alternative fuels facility),Cement Australia,Hazardous waste,Alternative fuels facility,92 Ordish Road,Dandenong ,Greater Dandenong,-38.026244,145.192179
Cleanaway Campbellfield Contaminated Water and Workshop Waste Services,Cleanaway Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,126 Barry Road,Campbellfield,Hume,-37.66791,144.965013
Cleanaway Dandenong Liquid Waste Services,Cleanaway Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,88-92 Ordish Road,Dandenong,Greater Dandenong,-38.0256086,145.192464
National Resource Recovery,National Resource Recovery Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,20 Jersey Road,Bayswater,Knox,-37.8405716,145.2790676
Veolia Technical Waste Services Brooklyn (CPT plant),Veolia Environmental Services Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,15-19 McDonald Road,Brooklyn,Brimbank,-37.81410077,144.8460619
REMONDIS Somerton Liquid Processing Plant,REMONDIS Australia,Hazardous waste,Chemical physical treatment (CPT) plant,41-47 Freight Drive,Somerton,Hume,-37.64059144,144.9639408
Earthsure (CPT plant),Veolia Environmental Services Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086
Cleanaway Environmental Services Melbourne,Cleanaway Pty Ltd,Hazardous waste,Chemical physical treatment (CPT) plant,84-86 Lara Way,Campbellfield,Hume,-37.6665222,144.9674208
"Repurpose It (Epping, Chemical physical treatment (CPT) plant)",Repurpose It,Hazardous waste,Chemical physical treatment (CPT) plant,460 Cooper Street,Epping,Whittlesea,-37.6462749,144.9804871
Ace Waste (Melbourne),Ace Waste Pty Ltd,Hazardous waste,Clinical waste facility thermal destruction,64 Ordish Road,Dandenong  South,Greater Dandenong,-38.020412,145.192351
Cleanaway Daniels Laverton North Medical Waste Services,Cleanaway Pty Ltd,Hazardous waste,Clinical waste facility thermal destruction,110 Dohertys Road,Laverton North ,Wyndham,-37.828308,144.791452
Cleanaway Daniels Dandenong South - Medical Waste Services,Cleanaway Pty Ltd,Hazardous waste,Clinical waste treatment facility,34-36 Cahill Street,Dandenong South,Greater Dandenong,-38.02630492,145.1965178
B A Page Drums Recycling,B A Page Drums Recycling Pty Ltd,Hazardous waste,Hazardous waste packaging facility,12 Seaview Parade,Williamstown,Hobsons Bay,-37.85538374,144.8554278
Drumsavers,DCML Hodgson Pty Ltd ,Hazardous waste,Hazardous waste packaging facility,Unit 2/28 Concord Crescent,Carrum Downs,Frankston,-38.102018,145.167867
Container Save,DCML Hodgson Pty Ltd ,Hazardous waste,Hazardous waste packaging facility,14 Stephenson Road,Seaford,Frankston,-38.100444,145.152197
Envirodrum,Donaldson & Associates Pty Ltd,Hazardous waste,Hazardous waste packaging facility,46 Jessica Road,Campbellfield,Hume,-37.658359,144.959382
Quality Drum Services,The Trustee for Doggle Unit Trust,Hazardous waste,Hazardous waste packaging facility,11-17 Dilop Drive,Epping,Whittlesea,-37.643379,145.019025
Schutz Australia (haz packaging),Schutz Australia Pty Ltd,Hazardous waste,Hazardous waste packaging facility,13-15 Burr Court,Laverton North,Wyndham,-37.81776427,144.8046477
M. Schott Drum Recyclers,Selaras Kechil Nominees Pty Ltd,Hazardous waste,Hazardous waste packaging facility,137-139 Bakers Road,Coburg North,Merri-bek,-37.726408,144.952994
Pact Packaging (Laverton),Pact Group,Hazardous waste,Hazardous waste packaging facility,25 Little Boundary Road,Laverton North,Wyndham,-37.820224,144.820043
Pact Packaging (Sunshine),Pact Group,Hazardous waste,Hazardous waste packaging facility,6-8 Normanby Avenue,Sunshine West,Brimbank,-37.812102,144.813581
Tank Services Australia,Tank Services Australia,Hazardous waste,Hazardous waste packaging facility,27-35 McDonald Road,Brooklyn,Brimbank,-37.81286,144.847213
Tru-Blu Oil,Tru-Blu Oil Australia Pty Ltd,Hazardous waste,Hazardous waste packaging facility,6 Dunlop Street,Bayswater,Knox,-37.84069696,145.2756703
CMA Ecocyle (mercury facility),CMA Corporation,Hazardous waste,Mercury facility,5-11 Reo Crescent,Campbellfield,Hume,-37.64698161,144.9384171
"Cleanaway Dandenong Oil, Workshop, and Parts Washer Waste Services",Cleanaway Pty Ltd,Hazardous waste,Oil re-refining facility,19-21 Berends Drive,Dandenong South,Greater Dandenong,-38.02940742,145.1959674
Central Recycling (OWT),Central Recycling Pty Ltd,Hazardous waste,Oil/water treatment (OWT) facility,Redesdale Road ,Kyneton,Macedon Ranges,-37.23046851,144.45053
JJ's Waste & Recycling (Bendigo) (OWT),J.J. Richards & Sons Pty Ltd,Hazardous waste,Oil/water treatment (OWT) facility,5-11 Piper Lane,East Bendigo,Greater Bendigo,-36.744478,144.32291
REMONDIS Dandenong South Liquid Processing Plant (OWT),REMONDIS Australia,Hazardous waste,Oil/water treatment (OWT) facility,26-28 Souffi Place,Dandenong South,Greater Dandenong,-38.031815,145.197081
Shepparton Liquid Treatment Plant,Veolia Environmental Services Pty Ltd,Hazardous waste,Oil/water treatment (OWT) facility,165 Daldy Road,Shepparton North,Greater Shepparton,-36.32384827,145.3765529
Cleanaway Thomastown Grease Trap Services,Cleanaway Pty Ltd,Hazardous waste,Organics recycling,11 Chaffey Street,Thomastown,Whittlesea,-37.6898105,145.004858
Greenlife Oil Holdings,Greenlife Oil Holdings Pty Ltd,Hazardous waste,Organics recycling,78-82 Spalding Avenue,Sunshine North,Brimbank,-37.75002,144.840528
SOLVE Altona (POPs thermal destruction),Enviropacific,Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,541-583 Kororoit Creek Road,Altona ,Hobsons Bay,-37.846655,144.80256
Geocycle (POPs thermal destruction),Cement Australia,Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,92 Ordish Road,Dandenong ,Greater Dandenong,-38.026244,145.192179
Renex (POPs destruction),Renex Group Pty Ltd ,Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,109-131 Ordish Road,Dandenong South,Greater Dandenong,-38.027499,145.192777
Earthsure (POPs thermal destruction),Veolia Environmental Services Pty Ltd,Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086
Veolia Technical Waste Services Brooklyn (POPs thermal destruction),Veolia Environmental Services Pty Ltd,Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,15-19 McDonald Road,Brooklyn,Brimbank,-37.81410077,144.8460619
SOLVE Altona (soils thermal treatment),Enviropacific,Hazardous waste,Soils thermal treatment facility,541-583 Kororoit Creek Road,Altona ,Hobsons Bay,-37.846655,144.80256
Renex (soils thermal treatment),Renex Group Pty Ltd ,Hazardous waste,Soils thermal treatment facility,109-131 Ordish Road,Dandenong South,Greater Dandenong,-38.027499,145.192777
Earthsure (soils thermal treatment),Veolia Environmental Services Pty Ltd,Hazardous waste,Soils thermal treatment facility,890 Taylors Road,Dandenong South,Greater Dandenong,-38.0401335,145.228086
Veolia Technical Waste Services Brooklyn (soils thermal treatment),Veolia Environmental Services Pty Ltd,Hazardous waste,Soils thermal treatment facility,15-19 McDonald Road,Brooklyn,Brimbank,-37.81410077,144.8460619
Garden City Plastics,Garden City Plastics,Reprocessor,Plastics reprocessing,10 E J Court,Dandenong South,Greater Dandenong,-38.00638912,145.2495319
InfraBuild Steel Manufacturing,InfraBuild,Reprocessor,Steel reprocessing,105-123 Dohertys Road,Laverton,Hobsons Bay,-37.82868584,144.7910537
InfraBuild Wire Manufacturing,InfraBuild,Reprocessor,Other metals reprocessing,21 Walchs Road,North Shore,Greater Geelong,-38.09349316,144.376239
RMAX Rigid Cellular Plastics,RMAX Rigid Cellular ,Reprocessor,Plastics reprocessing,2-4 Mephan Street,Maribyrnong,Maribyrnong,-37.78533419,144.8873373
Vicfoam,Foamex Group Pty Ltd,Reprocessor,Plastics reprocessing,430 Barry Road,Coolaroo,Hume,-37.66545253,144.9394921
Viscount Plastics,Viscount Plastics,Reprocessor,Plastics reprocessing,15 Mills Road,Braeside,Kingston,-37.99324649,145.1092143
Andpak,Andpak,Reprocessor,Plastics reprocessing,731-733 Koorlong Avenue,Irymple,Mildura,-34.237076,142.166967
Ballarat Regional Industries,Ballarat Regional Industries,Reprocessor,Plastics reprocessing,4 Neerim Crescent,Wendouree,Ballarat,-37.516269,143.84161
Cann River Landfill,East Gippsland Shire Council,Landfill,Landfill unlicensed,20 Coast Road,Cann River,East Gippsland,-37.56976757,149.122456
Killarney Landfill,Moyne Shire Council,Landfill,Landfill unlicensed,12 Badhams Road,Crossley,Moyne,-38.31809,142.29754
Cleanaway Altona,Cleanaway Pty Ltd,Reprocessor,Plastics reprocessing,72-80 Harcourt Road,Altona North,Hobsons Bay,-37.85032525,144.7814195
"Cleanaway (Laverton, Plastics reprocessing)",Cleanaway Pty Ltd,Reprocessor,Plastics reprocessing,32 Gilbertson Road,Laverton North,Wyndham,-37.821854,144.795121
Seymour Resource Recovery Centre,Mitchell Shire Council,Resource Recovery Centre,Transfer station,470 Seymour-Tooborac Road,Hilldene,Mitchell,-37.029435,145.08141
Echuca Resource Recovery Centre,Campaspe Shire Council,Resource Recovery Centre,Transfer station,510 McKenzie Road,Echuca,Campaspe,-36.19205843,144.7703762
Cobram Resource Recovery Centre,Moira Shire Council,Resource Recovery Centre,Transfer station,56 Pye Road,Cobram,Moira,-35.9553275,145.696043
Alexandra Resource Recovery Centre,Murrindindi Shire Council,Resource Recovery Centre,Transfer station,119 Mt Pleasant Road,Alexandra,Murrindindi,-37.20849034,145.7220064
Norstar (Reservoir),Norstar Steel Recyclers,Reprocessor,Metals recovery,41-51 Banbury Rd,Reservoir,Darebin,-37.71075823,144.9892639
Norstar (Dandenong South),Norstar Steel Recyclers,Reprocessor,Metals recovery,37 Redgum Dve,Dandenong South,Greater Dandenong,-38.02398283,145.1967182
Norstar (Bayswater North),Norstar Steel Recyclers,Reprocessor,Metals recovery,160-162 Colchester Rd,Bayswater North,Maroondah,-37.81621572,145.3051524
Norstar (Bendigo),Norstar Steel Recyclers,Reprocessor,Metals recovery,13-19 Piper Lane,East Bendigo,Greater Bendigo,-36.7449308,144.3232878
KTS Recycling,KTS Recycling,Reprocessor,Mattress recycling,251 George Street,Wantirna South,Knox,-37.8831,145.213
Upparel,Upparel,Reprocessor,Textiles recycling,33 MacBeth St,Braeside,Kingston,-38.00389515,145.1129419
Drysdale Resource Recovery Centre,Greater Geelong City Council,Resource Recovery Centre,Transfer station,82-180 Becks Road,Drysdale,Greater Geelong,-38.16925,144.62752
Anglesea Resource Recovery Centre,Surf Coast Shire Council,Resource Recovery Centre,Transfer station,50 Coalmine Road,Anglesea,Surf Coast,-38.38506,144.19862
Corangamite Resource Recovery Centre,Corangamite Shire Council,Resource Recovery Centre,Transfer station,605 County Boundary Road,Naroghid,Corangamite,-38.27278,143.04848
Hamilton Resource Recovery Centre,Southern Grampians Shire Council,Resource Recovery Centre,Transfer station,68 Elijah Street,Hamilton,Southern Grampians,-37.7465389,141.99663
AutoCycle,Autocycle International,Hazardous waste,End-of-life tyres facility,87-107 Toll Dr,Altona North,Hobsons Bay,-37.848314,144.828212
Shred-X Vic,Shred-X,Reprocessor,E-waste recycling,30 Plummer Road,Laverton North,Wyndham,-37.818277,144.813629
Active Group Solutions (Ecoactive),Acitve Group Solutions (Ecoactive),Reprocessor,E-waste recycling,26 Harker St,Burwood,Whitehorse,-37.85386291,145.105119
Ace recycling (Dandenong) ,Ace Recycling Group,Reprocessor,E-waste recycling,32-34 Bennet Street ,Dandenong,Greater Dandenong,-37.98722713,145.1992215
Norstar (Laverton North),Norstar Steel Recyclers,Reprocessor,Metals recovery,191-205 Dohertys Rd,Laverton North,Wyndham,-36.044259,144.753827
Future Recycling Hallam (Metal Recycling),Future Recycling,Reprocessor,Metals recovery,57-61 Star Cres,Hallam,Casey,-38.0166775,145.268515
Future Recycling Hallam (Waste Transfer Station),Future Recycling,Resource Recovery Centre,Transfer station,57-61 Star Cres,Hallam,Casey,-38.0166775,145.268515
Birchip Resource Recovery Centre,Buloke Shire Council,Resource Recovery Centre,Transfer station,2094 Birchip-Corack Road,Birchip,Buloke,-36.01243056,142.9375833
Donald Resource Recovery Centre,Buloke Shire Council,Resource Recovery Centre,Transfer station,2006 Depot Road,Donald,Buloke,-36.37992778,142.9223667
Ouyen Resource Recovery Centre,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Dunkley Road,Ouyen,Mildura,-35.094,142.327337
Bairnsdale Resource Recovery Centre,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,200 Johnstons Rd,Forge Creek,East Gippsland,-37.87967,147.626012
Benalla Resource Recovery Centre,Benalla Rural City Council,Resource Recovery Centre,Transfer station,90 Old Farnley Road,Benalla,Benalla,-36.511326,146.001273
Boort landfill and recycle,Loddon Shire Council,Resource Recovery Centre,Transfer station,Off Boort-Quambatook Road,Boort,Loddon,-36.109467,143.721294
Castlemaine Resource Recovery Centre,Mount Alexander Shire,Resource Recovery Centre,Transfer station,Sluicers Road,Castlemaine,Mount Alexander,-37.077897,144.193612
Eaglehawk Recovery & Sales Yard,Greater Bendigo City Council,Resource Recovery Centre,Transfer station,191-193 Upper Califronia Gully Road,Eaglehawk,Greater Bendigo,-36.72777,144.2464
Grantville Landfill and Transfer Station,Bass Coast Shire Council,Resource Recovery Centre,Transfer station,1685 Bass Highway,Grantville,Bass Coast,-38.420836,145.519635
Koonwarra Transfer Station,South Gippsland Shire Council,Resource Recovery Centre,Transfer station,Koonwarra-Inverloch Road,Koonwarra,South Gippsland,-38.447186,145.992218
Lakes Entrance Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,5 Thorpes Lane,Lakes Entrance,East Gippsland,-37.858294,148.006782
Maffra Resource Recovery Centre,Wellington Shire Council,Resource Recovery Centre,Transfer station,Sellings Rd,Maffra,Wellington,-37.912559,146.986143
Mildura Resource Recovery Centre,Mildura Rural City Council,Resource Recovery Centre,Transfer station,Ontario Avenue,Mildura,Mildura,-34.185062,142.142269
Newbridge landfill and recycle,Loddon Shire Council,Resource Recovery Centre,Transfer station,Ryan Street,Newbridge,Loddon,-36.743602,143.890383
Pyramid Hill Landfill and recycle,Loddon Shire Council,Resource Recovery Centre,Transfer station,Ballast Road,Pyramid Hill,Loddon,-36.064349,144.139112
Robinvale Resource Recovery Centre,Swan Hill Rural City Council,Resource Recovery Centre,Transfer station,899 Robinvale – Sealake Rd,Bannerton,Swan Hill,-34.680733,142.778585
Rye Landfill & Resource Recovery Centre (transfer station),Mornington Peninsula Shire Council,Resource Recovery Centre,Transfer station,280 Trueman Road,Fingal,Mornington Peninsula,-38.391339,144.855792
Sunbury Resource Recovery Centre,Hume City Council,Resource Recovery Centre,Transfer station,515 Riddell Road,Sunbury,Hume,-37.551131,144.684866
Re-Source,Re-Source,Reprocessor,E-waste recycling,70 Swann Drive,Derrimut,Brimbank,-37.80097659,144.7788241
National Polystyrene Systems,Metecno Pty Ltd,Reprocessor,Plastics reprocessing,329A St. Albans Rd,Sunshine,Brimbank,-37.7752093,144.8251116
Schutz Australia (plastics),Schutz Australia Pty Ltd,Reprocessor,Plastics reprocessing,13-15 Burr Court,Laverton North,Wyndham,-37.81776427,144.8046477
Visy Glass (Spotswood blast furnance),Visy,Reprocessor,Glass reprocessing (blast furnace),20-40 Booker Street,Spotswood,Hobsons Bay,-37.831408,144.8927
Emmans Granulators,Emmans Granulators,Reprocessor,Plastics reprocessing,46-48 Radford Rd,Reservoir,Darebin,-37.7084205,144.9831704
Branin (plastics),Branin Pty Ltd,Reprocessor,Plastics reprocessing,7 Apoinga Street,Dandenong South,Greater Dandenong,-38.0356394,145.2059851
"Re-Group (Coburg SSF, bailing facility)",Re-Group Pty Ltd,Reprocessor,Paper & cardboard recovery,172 Newlands Road,Coburg North,Merri-bek,-37.723148,144.975921
Plascorp,Geofabrics Australasia,Reprocessor,Plastics reprocessing,45 Chambers Rd,Altona North,Hobsons Bay,-37.838419,144.842006
Pipeconnex,Pipeconnex Pty Ltd,Reprocessor,Plastics reprocessing,13 Cahill St,Dandenong South,Greater Dandenong,-38.026716,145.200552
Clyde Compost,Clyde Composts Pty Ltd,Reprocessor,Organics recycling,2080 South Gippsland Hwy,Devon Meadows,Casey,-38.16376811,145.3312669
Kinross Farms,Kinross Farms,Reprocessor,Organics recycling,578 Drysdale Road,Euroa,Strathbogie,-36.7521561,145.4983692
Hermetia Biosystems,Hermetia Biosystems Pty Ltd,Reprocessor,Organics recycling,76 Ordish Road,Dandenong South,Dandenong South,-38.02275981,145.1914617
Mallacoota WasteWater Treatment Plant,East Gippsland Shire Council,Reprocessor,Organics recycling,Genoa-Mallacoota Rd,Mallacoota,East Gippsland,-37.546616,149.728239
Boggy Corner Waste Transfer Station (Organics) ,Mount Buller and Mount Stirling Resort Management Board,Reprocessor,Organics recycling,Boggy Corner,Mount Buller,Mount Buller Alpine Resort,-37.13482714,146.4520439
SJ Sheahan,SJ Sheahan Pty Ltd,Reprocessor,Organics recycling,948 Bolinda-Darraweit Rd,Darraweit Guim,Macedon Ranges,-37.43024156,144.8483384
Ultima Transfer Station (Organics) ,Swan Hill Rural City Council,Reprocessor,Organics recycling,4330 Sea Lake-Swan Hill Rd,Ultima,Swan Hill,-35.45491624,143.279272
Circular Plastics Australia (Altona),Circular Plastics Australia,Reprocessor,Plastics reprocessing,31-38 Horsburgh Drive,Altona North,Hobsons Bay,-37.84070872,144.8101297
Martogg (South Park Drive),Martogg Group,Reprocessor,Plastics reprocessing,63 South Park Drive,Dandenong South,Greater Dandenong,-38.01747961,145.1987457
Plasgain,Plasgain,Reprocessor,Plastics reprocessing,Clancy Rd,Drouin,Baw Baw,-38.12123629,145.8311246
Fulton Hogan (Warrnambool),Fulton Hogan,Reprocessor,Glass reprocessing (crushing),385 Koroit St,Warrnambool,Warrnambool,-38.37476212,142.4633793
Vinidex Pty Ltd,Vinidex Pty Ltd,Reprocessor,Plastics reprocessing,231-245 St Albans Rd,Sunshine,Brimbank,-37.76408488,144.8159433
Eastern Concrete Recycling,Eastern Concrete Recycling,Reprocessor,C&D waste recycling,78 McMillan Street,Bairnsdale,East Gippsland,-37.82349909,147.6568805
Tambo Bairnsdale,Tambo Waste,MRF,Materials recovery facility,56 McMillan Street,Lucknow,East Gippsland,-37.82299586,147.6564877
Socobell O.E.M Pty Ltd,Socobell O.E.M Pty Ltd,Reprocessor,Plastics reprocessing,555 Somerville Road,Sunshine West,Brimbank,-37.80676869,144.8259852
Pronto Recycling (Barro),Barro Group,Reprocessor,C&D waste recycling,McIntyre Road,Kealba,Brimbank,-37.74248932,144.8312184
Tyrecycle ,ResourceCo,Hazardous waste,End-of-life tyres facility,30-56 Encore Avenue,Somerton,Hume,-37.63474,144.952416
Textile Recyclers Australia,Textile Recyclers Australia,Reprocessor,Textiles recycling,6 Freight Rd,Ravenhall,Melton,-37.77584635,144.7513853
CRDC and WeCollect,CRDC Global,Reprocessor,Plastics reprocessing,213 Sunshine Road,Tottenham,Maribyrnong,-37.7991671,144.8523626
Sims Metals Management (Noble Park),Sims Limited,Reprocessor,Metals recovery,442 Princes Highway,Noble Park,Greater Dandenong,-37.95808995,145.1857629
Sims Metals Management (Brooklyn),Sims Limited,Reprocessor,Metals recovery,44-60 Mcdonald Road,Brooklyn,Hobsons Bay,-37.81002155,144.8482209
Tyre Crumb ,Tyre Crumb,Hazardous waste,End-of-life tyres facility,175-215 Maygar Boulevard,Broadmeadows,Hume,-37.686211,144.940863
Siltech PMR,Siltech PMR Pty Ltd,Reprocessor,Metals recovery,220 Barry Road,Campbellfield,Hume,-37.665425,144.957214
Genoa Transfer Station,East Gippsland Shire Council,Resource Recovery Centre,Transfer station,13 Nash Camp Track,Genoa,East Gippsland,-37.45964,149.59978
Olympic Polymers (Clayton South),Olympic Polymers Pty Ltd,Reprocessor,Plastics reprocessing,86 Fairbank Road,Clayton South,Kingston,-37.9419,145.129
Elmhurst  Landfill ,Ararat Rural City Council,Landfill,Landfill unlicensed,Mckay Street,Elmhurst,Ararat,-37.189547,143.252574
Lake Bolac Landfill ,Ararat Rural City Council,Landfill,Landfill unlicensed,230 Graham Road,Lake Bolac,Ararat,-37.702585,142.828006
Streatham Landfill ,Ararat Rural City Council,Landfill,Landfill unlicensed,Nerrin-Nerrin Floodway Road,Streatham,Ararat,-37.680696,143.041231
Tatyoon  Landfill ,Ararat Rural City Council,Landfill,Landfill unlicensed,Camp Road (Off Porters Bridge Road),Tatyoon,Ararat,-37.535064,142.956367
Heathcote Landfill,Greater Bendigo City Council,Landfill,Landfill unlicensed,61 Golden Gully Road,Heathcote,Greater Bendigo,-36.935361,144.696822
Elecsome PV Recycling,Elecsome Pty Ltd,Reprocessor,E-waste recycling,14A Velore Rd,Kilmany,Wellington,-38.102588,146.922372
Pact Recycling (Cheltenham),Pact Group,Reprocessor,Plastics reprocessing,103 Bernard Street,Cheltenham,Kingston,-37.954396,145.074266
Drouin Waste Recyclers (C&D recycling),Meluca Group,Reprocessor,C&D waste recycling,81 Weerong Road,Drouin,Baw Baw,-38.122448,145.83346
Avalon Waste Resource Recovery Centre,Sycle,Reprocessor,C&D waste recycling,45 Beach Road,Avalon,Greater Geelong,-38.01048699,144.4693811
Precious Plastic Melbourne,Precious Plastic,Reprocessor,Plastics reprocessing,22A Rooks Road,Nunawading,Whitehorse,-37.8198338,145.1852057
Precious Plastic Monash,Precious Plastic,Reprocessor,Plastics reprocessing,"17 Alliance Lane, Monash University",Clayton,Monash,-37.90892534,145.1336446
